순위,선수,팀,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루 실패,볼넷,사구,삼진,병살,장타율,출루율,OPS,실책,희생플라이,희생번트,장타,땅볼,뜬공,땅볼/뜬공,결승타,투구수/타석,추정득점,고의사구,멀티히트,득점권타율,대타타율,볼넷/삼진,순수장타율,GPA,wRC+,wOBA,WAR,BABIP,볼넷비율,삼진비율,RC,SecA
1,송성문,키움,0.315,144,646,574,103,181,37,4,26,304,90,25,2,68,1,96,6,0.53,0.387,0.917,14,3,0,67,139,161,0.86,8,3.79,114.9,5,53,0.372,0.333,0.71,0.214,0.307,152.6,0.41,9.6,0.341,10.5,14.9,117.9,0.373
2,이주형,키움,0.24,127,514,446,55,107,22,1,11,164,45,15,1,37,28,115,7,0.368,0.337,0.705,1,0,3,34,131,93,1.41,5,3.75,59.6,2,28,0.257,0.222,0.32,0.128,0.244,96.4,0.332,3.6,0.3,7.2,22.4,48.9,0.242
3,최주환,키움,0.275,120,506,459,45,126,31,1,12,195,74,0,0,36,5,66,8,0.425,0.33,0.755,6,6,0,44,112,161,0.7,6,4.07,64.2,2,33,0.291,0.5,0.55,0.15,0.255,103.8,0.342,1.5,0.295,7.1,13,63.8,0.229
4,임지열,키움,0.244,102,417,369,51,90,14,2,11,141,50,13,6,42,2,111,11,0.382,0.322,0.704,4,3,1,27,89,82,1.09,3,3.91,46,0,19,0.31,0.6,0.38,0.138,0.24,91.7,0.326,2.3,0.316,10.1,26.6,45.3,0.271
5,카디네스,키움,0.253,86,361,320,33,81,15,1,7,119,42,1,2,32,6,67,7,0.372,0.33,0.702,4,3,0,23,79,96,0.82,1,3.37,39.7,2,21,0.284,0,0.48,0.119,0.242,92.4,0.327,0.7,0.297,8.9,18.6,38.2,0.216
6,어준서,키움,0.238,116,360,324,48,77,9,1,6,106,27,1,0,30,2,75,10,0.327,0.305,0.632,29,1,3,16,89,84,1.06,3,3.95,31.6,1,20,0.222,0.182,0.4,0.09,0.219,71.6,0.298,-0.4,0.291,8.3,20.8,32,0.185
7,김건희,키움,0.242,105,344,322,24,78,20,2,3,111,25,2,1,13,0,102,10,0.345,0.27,0.615,5,2,7,25,91,53,1.72,3,3.93,26.3,0,19,0.224,0.2,0.13,0.102,0.208,59,0.28,0.3,0.342,3.8,29.7,30.2,0.146
8,김태진,키움,0.233,94,304,279,27,65,11,2,5,95,25,1,1,20,0,53,6,0.341,0.281,0.622,9,3,2,18,79,85,0.93,0,3.8,26.6,1,15,0.156,0.214,0.38,0.108,0.212,63.4,0.286,-0.5,0.268,6.6,17.4,27,0.179
9,박주홍,키움,0.226,102,283,248,33,56,11,3,3,82,23,11,1,30,1,72,5,0.331,0.31,0.641,3,2,2,17,57,65,0.88,3,4.18,28.2,0,12,0.219,0.182,0.42,0.105,0.222,75.3,0.303,1.4,0.303,10.6,25.4,25.4,0.266
10,전태현,키움,0.231,77,207,182,20,42,5,0,0,47,10,4,0,20,0,59,2,0.258,0.304,0.562,4,2,3,5,37,46,0.8,0,4.45,16.7,0,8,0.282,0.267,0.34,0.027,0.201,54.9,0.275,-0.2,0.336,9.7,28.5,14.4,0.159
11,주성원,키움,0.25,58,174,156,21,39,6,0,1,48,12,4,0,13,4,45,2,0.308,0.322,0.63,2,1,0,7,36,37,0.97,1,3.95,17,0,10,0.212,0.3,0.29,0.058,0.222,74.3,0.301,0.4,0.342,7.5,25.9,14.8,0.167
