시도,화재유형,발화요인대분류,발화요인소분류,장소대분류,인명피해_발생여부,발생_월,발생_시간,발생_요일
경기도,"건축,구조물",전기적 요인,미확인단락,산업시설,0,3,15,2
대구광역시,"건축,구조물",부주의,"용접, 절단, 연마",기타서비스,0,3,15,2
전북특별자치도,기타(쓰레기 화재등),부주의,쓰레기 소각,기타,0,3,15,2
충청북도,임야,부주의,"용접, 절단, 연마",임야,0,3,15,2
경기도,"건축,구조물",방화,방화,주거,1,3,15,2
광주광역시,"자동차,철도차량",방화의심,방화의심,"자동차,철도차량",1,3,15,2
서울특별시,"건축,구조물",미상,미상,"판매,업무시설",0,3,16,2
인천광역시,"자동차,철도차량",기계적 요인,"오일,연료누설","자동차,철도차량",0,3,16,2
경기도,"건축,구조물",부주의,담배꽁초,생활서비스,0,3,16,2
강원특별자치도,임야,부주의,"논,임야태우기",임야,0,3,16,2
전라남도,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의",산업시설,0,3,16,2
경상북도,"건축,구조물",부주의,"용접, 절단, 연마",산업시설,0,3,16,2
전라남도,"위험물,가스제조소등",부주의,"용접, 절단, 연마","위험물,가스제조소",0,3,16,2
충청북도,"건축,구조물",부주의,기타(부주의),주거,0,3,17,2
경상북도,임야,부주의,기타(부주의),임야,1,3,17,2
전라남도,"자동차,철도차량",교통사고,교통사고,"자동차,철도차량",0,3,18,2
부산광역시,"건축,구조물",전기적 요인,반단선,산업시설,0,3,18,2
충청남도,"자동차,철도차량",전기적 요인,접촉불량에 의한 단락,"자동차,철도차량",0,3,18,2
부산광역시,기타(쓰레기 화재등),전기적 요인,절연열화에 의한 단락,기타,0,3,18,2
서울특별시,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의",주거,0,3,19,2
광주광역시,"건축,구조물",미상,미상,주거,0,3,19,2
서울특별시,"건축,구조물",전기적 요인,접촉불량에 의한 단락,주거,0,3,19,2
인천광역시,"건축,구조물",부주의,가연물 근접방치,주거,0,3,19,2
서울특별시,"건축,구조물",전기적 요인,기타(전기적요인),주거,0,3,20,2
경상남도,"건축,구조물",미상,미상,산업시설,0,3,20,2
광주광역시,"자동차,철도차량",기계적 요인,"오일,연료누설","자동차,철도차량",0,3,20,2
충청남도,"건축,구조물",기타,기타,주거,0,3,20,2
강원특별자치도,"자동차,철도차량",부주의,담배꽁초,"자동차,철도차량",0,3,21,2
전라남도,"자동차,철도차량",기계적 요인,"과열, 과부하","자동차,철도차량",0,3,21,2
강원특별자치도,"건축,구조물",전기적 요인,"압착,손상에 의한 단락",주거,0,3,21,2
대구광역시,기타(쓰레기 화재등),부주의,담배꽁초,기타,0,3,21,2
서울특별시,"건축,구조물",부주의,담배꽁초,생활서비스,0,3,22,2
서울특별시,"건축,구조물",미상,미상,"판매,업무시설",0,3,22,2
전북특별자치도,"건축,구조물",방화의심,방화의심,주거,1,3,22,2
서울특별시,"건축,구조물",전기적 요인,트래킹에 의한 단락,생활서비스,0,3,22,2
경기도,"건축,구조물",부주의,"불씨,불꽃,화원방치",생활서비스,0,3,23,2
대구광역시,"건축,구조물",전기적 요인,절연열화에 의한 단락,"판매,업무시설",0,3,23,2
경기도,"자동차,철도차량",기타,기타,"자동차,철도차량",0,3,23,2
강원특별자치도,"자동차,철도차량",기타,기타,"자동차,철도차량",0,3,0,3
인천광역시,"자동차,철도차량",기계적 요인,"과열, 과부하","자동차,철도차량",0,3,1,3
경기도,"건축,구조물",부주의,담배꽁초,기타서비스,0,3,1,3
전북특별자치도,"건축,구조물",미상,미상,주거,0,3,1,3
대전광역시,"건축,구조물",부주의,음식물 조리중,주거,0,3,2,3
대구광역시,기타(쓰레기 화재등),부주의,담배꽁초,기타,0,3,2,3
충청남도,"건축,구조물",전기적 요인,미확인단락,산업시설,0,3,2,3
경상북도,"건축,구조물",전기적 요인,층간단락,산업시설,0,3,3,3
충청남도,"건축,구조물",기타,기타,생활서비스,0,3,3,3
서울특별시,"자동차,철도차량",기계적 요인,"오일,연료누설","자동차,철도차량",0,3,4,3
