위도,경도,정류소ID,정류소명,정류소번호,수집일시,위치구분
35.86784,128.59369,DGB7001003800,약령시건너(동성로입구),20122,2026-07-02,중구
35.86897,128.5936,DGB7001004100,약령시앞,20124,2026-07-02,중구
35.87277,128.59445,DGB7001004300,경상감영공원건너,20123,2026-07-02,중구
35.87377,128.5945,DGB7001004600,경상감영공원앞,20121,2026-07-02,중구
35.87487,128.58785,DGB7001004700,대구행복기숙사앞,129,2026-07-02,북구
35.87538,128.58773,DGB7001004800,대구역센트럴자이,20051,2026-07-02,북구
35.87262,128.58742,DGB7001004900,북성공구골목,20065,2026-07-02,북구
35.8719,128.58758,DGB7001005000,종로초등학교앞,128,2026-07-02,북구
35.87535,128.58224,DGB7001005100,수창초등학교,21880,2026-07-02,북구
35.8753,128.5819,DGB7001005200,달성공원역3번출구,20064,2026-07-02,북구
35.86855,128.58234,DGB7001005300,계명대학교 대구동산병원앞1,20067,2026-07-02,북구
35.86739,128.58226,DGB7001005400,서문시장,1046,2026-07-02,북구
35.86737,128.58236,DGB7001005500,계명대학교 대구동산병원앞2,20066,2026-07-02,북구
35.86677,128.57574,DGB7001005600,대신동광명맨션앞,1201,2026-07-02,북구
35.86895,128.57858,DGB7001005700,서문시장5지구앞,1202,2026-07-02,북구
35.87062,128.58387,DGB7001005800,섬유회관앞,5111,2026-07-02,북구
35.87073,128.58333,DGB7001005900,섬유회관건너1,21879,2026-07-02,북구
35.87052,128.58539,DGB7001006000,섬유회관건너2,21878,2026-07-02,북구
35.87035,128.58928,DGB7001006100,곽병원앞2,2229,2026-07-02,북구
35.87029,128.58967,DGB7001006200,곽병원건너,2235,2026-07-02,북구
35.87041,128.58964,DGB7001006300,곽병원앞1,2391,2026-07-02,북구
35.87045,128.59052,DGB7001006400,만경관건너,2237,2026-07-02,북구
35.87055,128.59024,DGB7001006500,만경관앞,2228,2026-07-02,북구
35.87082,128.59633,DGB7001006600,CGV대구한일건너,20118,2026-07-02,중구
35.87058,128.59673,DGB7001006700,CGV대구한일앞,20119,2026-07-02,중구
35.87031,128.59832,DGB7001006800,2.28기념중앙공원앞,20120,2026-07-02,중구
35.87059,128.59802,DGB7001006900,2.28기념중앙공원건너1,20117,2026-07-02,중구
35.87833,128.57842,DGB7001007000,적십자혈액원앞,21881,2026-07-02,북구
35.87804,128.57884,DGB7001007100,적십자혈액원건너,20056,2026-07-02,북구
35.87692,128.58489,DGB7001007200,수창공원앞(중구보건소건너),20052,2026-07-02,북구
35.8771,128.58495,DGB7001007300,중구보건소앞,20063,2026-07-02,북구
35.87563,128.59246,DGB7001007400,대구콘서트하우스앞,20062,2026-07-02,북구
35.86352,128.60052,DGB7001007500,경대사대부설고등학교앞,2203,2026-07-02,중구
35.8636,128.60149,DGB7001007600,경북대학교치과병원,20103,2026-07-02,중구
35.86268,128.60572,DGB7001007700,방천시장(김광석길)건너,2075,2026-07-02,중구
35.86231,128.60636,DGB7001007800,방천시장(김광석길)앞,2076,2026-07-02,중구
