player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Jonathan David,Canada,Canada,FW,26,2000,Juventus,5,5,420,4.7,3,0,3,3,0,0,1,0,0.64,0,0.64,0.64,0.64,18,8,44.4,3.86,1.71,0.17,0.38,84,93.3,84,4,0,,0,1.4,8,6,2,0.43,-2.57,0,5,5,0,3,3,1,,,0,,,,,,,,,,,,,,,,,,
Jonathan Osorio,Canada,Canada,MF,34,1992,Toronto FC,2,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,0,,3,1.1,,0,2,3,3,0.5,0,1,-1,-18,-18.81,0,0,1,0,0,1,0,,,0,,,,,,,,,,,,,,,,,,
Liam Millar,Canada,Canada,MF,26,1999,Hull City,3,2,162,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.56,0,0,,54,36,65,0,1,33,2,1.33,1,1,0,0,-0.94,0,3,1,0,10,0,4,,,0,,,,,,,,,,,,,,,,,,
Luc De Fougerolles,Canada,Canada,DF,20,2005,Fulham,5,4,372,4.1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,33.3,0.73,0.24,0,0,74,82.7,85,3,1,32,0,1.4,7,6,1,0.24,-2.07,0,8,8,0,1,2,6,,,0,,,,,,,,,,,,,,,,,,
Mathieu Choini?re,Canada,Canada,MF,27,1999,LAFC,1,1,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,57,12.7,57,0,0,,4,0,0,2,-2,-3.16,-4.3,0,1,1,0,4,2,1,,,0,,,,,,,,,,,,,,,,,,
Maxime Cr?peau,Canada,Canada,GK,32,1994,Orlando City,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,90,100,90,5,0,,0,1.4,9,6,3,0.6,,0,1,1,0,0,0,1,,,0,5,5,450,6,1.2,12,6,50,2,1,2,2,40,0,0,0,0,
Mo?se Bombito,Canada,Canada,DF,26,2000,Nice,3,2,193,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0.47,0.47,0,0,64,42.9,74,1,1,45,2,2,3,3,0,0,-1.05,0,2,0,0,0,1,0,,,0,,,,,,,,,,,,,,,,,,
Nathan Saliba,Canada,Canada,MF,22,2004,Anderlecht,3,2,182,2,1,2,3,1,0,0,1,0,0.49,0.99,1.48,0.49,1.48,3,1,33.3,1.48,0.49,0.33,1,61,40.4,74,1,1,34,2,2,4,2,2,0.99,0.65,0,5,2,0,2,4,4,,,0,,,,,,,,,,,,,,,,,,
Niko Sigur,Canada,Canada,MF,22,2003,Hajduk Split,3,1,126,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.71,0,0,,42,28,86,0,2,20,2,2,2,2,0,0,-0.83,0,5,1,0,5,0,1,,,0,,,,,,,,,,,,,,,,,,
Owen Goodman,Canada,Canada,GK,22,2003,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
